Date,Name,Year,Letterboxd URI,Rating,Average Rating,Length (mins)
2020-10-29,Hush,2016,https://boxd.it/d5ys,3.0,3.21,82.0
2020-10-30,Coraline,2009,https://boxd.it/1NhQ,2.0,4.14,100.0
2020-10-30,The World's End,2013,https://boxd.it/3EiO,3.0,3.62,109.0
2020-10-30,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,2.5,2.59,104.0
2020-11-10,Hamilton,2020,https://boxd.it/kmvE,4.0,4.17,160.0
2020-12-05,Love Actually,2003,https://boxd.it/2aeU,4.0,3.44,135.0
2020-12-12,Nativity!,2009,https://boxd.it/FRa,1.0,3.45,105.0
2021-01-21,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,4.5,3.91,143.0
2021-02-01,Stardust,2007,https://boxd.it/272w,5.0,3.59,127.0
2021-02-12,X-Men: First Class,2011,https://boxd.it/FOA,3.5,3.56,132.0
2021-02-17,The New Mutants,2020,https://boxd.it/bjle,1.0,2.12,94.0
2021-02-17,The Simpsons Movie,2007,https://boxd.it/6YU,2.5,3.44,87.0
2021-03-15,WandaVision,2021,https://boxd.it/sbGW,4.0,3.75,350.0
2021-03-15,Enter the Dragon,1973,https://boxd.it/1YCA,2.0,3.81,102.0
2021-03-15,American Psycho,2000,https://boxd.it/28Vs,2.0,3.86,102.0
2021-03-23,Murder on the Orient Express,2017,https://boxd.it/dHjA,3.0,3.05,114.0
2021-03-29,Zodiac,2007,https://boxd.it/27MO,3.5,4.02,163.0
2021-04-01,The Social Network,2010,https://boxd.it/17ue,3.0,3.95,121.0
2021-04-04,Little Miss Sunshine,2006,https://boxd.it/29EW,3.5,4.17,102.0
2021-04-05,"Good Morning, Vietnam",1987,https://boxd.it/29Aq,3.0,3.67,121.0
2021-05-01,Bo Burnham: Make Happy,2016,https://boxd.it/e436,3.5,4.19,60.0
2021-05-04,Parasite,2019,https://boxd.it/hTha,5.0,4.56,133.0
